"Bill of Material for "
"On 2023/5/28 at ¤W¤È 11:31:29"

"Comment","Pattern","Quantity","Components"

"*0.1uF,0603","C0603","8","C14, C15, C24, C25, C26, C29, C30, C31",""
"*1.5k£[,0603","R0603","1","R1",""
"*4.7k£[,0603","R0603","1","R34",""
"*47k£[,0603","R0603","2","R11, R12",""
"0.1uF,0603","C0603","10","C1, C2, C5, C7, C16, C27, C32, C39, C40, C41",""
"0£[,0603","R0603","3","R32, R33, R35",""
"10k£[,0603","R0603","7","R4, R5, R6, R7, R8, R15, R24",""
"10uF,0603","C0603","10","C6, C8, C10, C18, C20, C21, C23, C34, C35, C36",""
"150K£[,0603","R0603","3","R17, R18, R21",""
"15pF,0603","C0603","3","C9, C19, C22",""
"180K£[,0603","R0603","1","R20",""
"1N5819","SOD-323","2","D1, D2",""
"1uF,0603","C0603","7","C11, C12, C17, C28, C33, C37, C38",""
"2.2uH","IND_252010_SMD","3","L1, L2, L3",""
"200k£[,0603","R0603","2","R22, R23",""
"20pF,0603","C0603","2","C42, C43",""
"22nF,0603","C0603","1","C13",""
"24MHz","XTAL_SMD_3225","1","X2",""
"2k£[,0603","R0603","2","R25, R26",""
"4.7k£[,0603","R0603","8","R13, R14, R27, R28, R29, R30, R31, R36",""
"470K£[,0603","R0603","1","R19",""
"5.1k£[,0603","R0603","4","R2, R3, R9, R10",""
"5V,1.5A,0805","F0805","1","F1",""
"5V,3A,0805","F0805","1","F2",""
"680K£[,0603","R0603","1","R16",""
"AT24C02","SOP8","1","U5",""
"blue,0603","LED0603","1","LD2",""
"CH340E","MSOP-10","1","U1",""
"F1C200S","MQFN_10_10_v3","1","U11",""
"FFC_FPC_6P","FPC_1MM_6P","1","P11",""
"green,0603","LED0603","1","LD1",""
"Header_13x2","Header_13x2","1","P7",""
"Header_3","Header_3_2mm","1","P10",""
"Header_3","HEADER_3_2MM_SMD","1","P12",""
"Header_3x2","HEADER_3x2","1","P2",""
"Header_4","Header_4","2","P1, P9",""
"Header_4","HEADER_4_SMD","1","P6",""
"Header_8*2","Header_8*2","1","P8",""
"Jump_2","Jp_small","15","J2, J3, J4, J5, J7, J8, J9, J10, J11, J12, J13, J18, J19, J20, J21",""
"Jump_2","power_jump","4","J14, J15, J16, J17",""
"LIS3DH","LGA-16","1","U4",""
"MicroSD","MicroSD","1","P4",""
"OLED_128x64","Header_4","1","P5",""
"RT9193-30GB","SOT-23-5p","1","U8",""
"SPI Flash","WSON8","1","U6",""
"SRV05-4","SOT23-6","2","U2, U3",""
"SW_2P","SW_2P_4","3","B1, BOOT, RST1",""
"SY8088","SOT-23-5p","2","U7, U10",""
"SY8089","SOT-23-5p","1","U9",""
"TP","TP","24","TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP20, TP21, TP22, TP23, TP24",""
"TypeC_F","Type-C_16P_F_0.5_BOTH","1","J1","Female SMD Connector"
"TypeC_F","Type-C_6P_F_BOTH","1","J6","Female SMD Connector"
"USB_port","USB-A-female-90","1","P3",""
"white,0603","LED0603","1","LD3",""
